# Bearings,Reorientation_Speeds
6.826745480374128761e+01,8.400000000000001421e+01
7.039451719216208403e+01,8.400000000000001421e+01
7.257933350649847171e+01,8.400000000000001421e+01
7.481768714627725103e+01,8.400000000000001421e+01
7.481768714627725103e+01,0.000000000000000000e+00
7.710450164912069226e+01,0.000000000000000000e+00
7.943386394776396742e+01,0.000000000000000000e+00
8.179907948588180489e+01,0.000000000000000000e+00
8.431146498223858998e+01,0.000000000000000000e+00
8.639501061659078118e+01,0.000000000000000000e+00
8.809430884162929942e+01,0.000000000000000000e+00
8.945616989627464477e+01,0.000000000000000000e+00
8.945616989627464477e+01,0.000000000000000000e+00
9.238936018688644936e+01,0.000000000000000000e+00
9.530797479544503403e+01,0.000000000000000000e+00
9.819835268745646317e+01,0.000000000000000000e+00
1.010451672855459151e+02,0.000000000000000000e+00
1.038314286824689248e+02,0.000000000000000000e+00
1.065385410062214078e+02,0.000000000000000000e+00
1.091464262036897708e+02,0.000000000000000000e+00
1.116337272042305813e+02,0.000000000000000000e+00
1.116337272042305813e+02,0.000000000000000000e+00
1.139801475052175306e+02,0.000000000000000000e+00
1.157811097186271354e+02,0.000000000000000000e+00
1.171351109162664557e+02,0.000000000000000000e+00
1.181252023750158742e+02,0.000000000000000000e+00
1.188201584486715774e+02,0.000000000000000000e+00
1.192765858729989077e+02,0.000000000000000000e+00
1.195411445885909529e+02,0.000000000000000000e+00
1.196525479843909352e+02,0.000000000000000000e+00
1.196525479843909352e+02,0.000000000000000000e+00
1.226891167496146977e+02,0.000000000000000000e+00
1.256233499760502923e+02,0.000000000000000000e+00
1.284459532446327330e+02,0.000000000000000000e+00
1.311480273138266170e+02,0.000000000000000000e+00
1.337210191936333672e+02,0.000000000000000000e+00
1.361566657182996209e+02,0.000000000000000000e+00
1.384469375380572842e+02,0.000000000000000000e+00
1.405839923401308624e+02,0.000000000000000000e+00
1.405839923401308624e+02,0.000000000000000000e+00
1.407929263481689759e+02,0.000000000000000000e+00
1.408265017914491750e+02,0.000000000000000000e+00
1.407196608496155932e+02,0.000000000000000000e+00
1.405012274648502739e+02,0.000000000000000000e+00
1.401952975015140623e+02,0.000000000000000000e+00
1.398223109952868413e+02,0.000000000000000000e+00
1.393998813962602412e+02,0.000000000000000000e+00
1.389434406202497030e+02,0.000000000000000000e+00
1.389434406202497030e+02,0.000000000000000000e+00
1.411541796952622576e+02,0.000000000000000000e+00
1.432709641629724615e+02,0.000000000000000000e+00
1.432709641629724615e+02,0.000000000000000000e+00
1.379822739791044341e+02,0.000000000000000000e+00
1.325601943314737241e+02,0.000000000000000000e+00
1.274193500178119507e+02,0.000000000000000000e+00
1.230302168343895346e+02,0.000000000000000000e+00
-1.079885762824452229e+02,0.000000000000000000e+00
-1.094970273888047529e+02,-1.320000000000000853e+02
-1.109778772786563366e+02,-1.320000000000000853e+02
-1.124299539059250321e+02,-1.320000000000000853e+02
-1.138522779203322841e+02,-1.320000000000000853e+02
-1.152440561485552450e+02,-1.320000000000000853e+02
-1.166046731187452963e+02,-1.320000000000000853e+02
-1.179336810340933823e+02,-1.320000000000000853e+02
-1.192307885876113289e+02,-1.320000000000000853e+02
-1.204958489847294629e+02,-1.320000000000000853e+02
-1.204958489847294629e+02,0.000000000000000000e+00
-1.217288475060520057e+02,0.000000000000000000e+00
-1.229298889028251835e+02,0.000000000000000000e+00
-1.229298889028251835e+02,0.000000000000000000e+00
-1.252480081605897624e+02,0.000000000000000000e+00
-1.251519938901551257e+02,0.000000000000000000e+00
-4.967923308743439748e+01,0.000000000000000000e+00
-5.122797899998334969e+01,-7.200000000000000000e+01
-5.284701030478356643e+01,-7.200000000000000000e+01
-5.453845606053351958e+01,-7.200000000000000000e+01
-5.630413476236674342e+01,-7.200000000000000000e+01
-5.814546382924822865e+01,-7.200000000000000000e+01
-6.006335973844215914e+01,-7.200000000000000000e+01
-6.205813085608298252e+01,-7.200000000000000000e+01
-6.412936620692261158e+01,-7.200000000000000000e+01
-6.627582477132992267e+01,-7.200000000000000000e+01
-6.627582477132992267e+01,0.000000000000000000e+00
-6.849533128849000718e+01,0.000000000000000000e+00
-7.078468581877331189e+01,0.000000000000000000e+00
-7.313959525860502708e+01,0.000000000000000000e+00
-7.555463535598440217e+01,0.000000000000000000e+00
-7.802325129529651804e+01,0.000000000000000000e+00
-8.053780341624889161e+01,0.000000000000000000e+00
-8.308966203729485756e+01,0.000000000000000000e+00
-8.566935178341256574e+01,0.000000000000000000e+00
-8.826674159572036160e+01,0.000000000000000000e+00
-9.087127224000903425e+01,0.000000000000000000e+00
-9.347220926022765752e+01,0.000000000000000000e+00
-9.605890655962738833e+01,0.000000000000000000e+00
-9.862106460718246126e+01,0.000000000000000000e+00
-1.011489678684683042e+02,0.000000000000000000e+00
-1.036336883421224400e+02,0.000000000000000000e+00
-1.060672456513440238e+02,0.000000000000000000e+00
-1.084427184101364787e+02,0.000000000000000000e+00
-1.107543059166422381e+02,0.000000000000000000e+00
-1.129973430583850984e+02,0.000000000000000000e+00
-1.151682742546179838e+02,0.000000000000000000e+00
-1.172645941264055409e+02,0.000000000000000000e+00
-1.192847633873777227e+02,0.000000000000000000e+00
-1.212281083435400149e+02,0.000000000000000000e+00
-1.230947116153066361e+02,0.000000000000000000e+00
-1.248853005050677041e+02,0.000000000000000000e+00
-1.266011380605368117e+02,0.000000000000000000e+00
-1.282439205095361672e+02,0.000000000000000000e+00
-1.298156834895660552e+02,0.000000000000000000e+00
-1.298156834895660552e+02,0.000000000000000000e+00
-1.342616207282847824e+02,0.000000000000000000e+00
-1.358979707324810420e+02,0.000000000000000000e+00
-6.046546277855938456e+01,0.000000000000000000e+00
-6.349697952873853524e+01,-7.200000000000005684e+01
-6.669719520247528521e+01,-7.200000000000005684e+01
-7.005898970585298002e+01,-7.200000000000005684e+01
-7.357008908644237977e+01,-7.200000000000005684e+01
-7.721266407497509476e+01,-7.200000000000005684e+01
-8.096332630024645027e+01,-7.200000000000005684e+01
-8.479362695529766825e+01,-7.200000000000005684e+01
-8.867109520543883150e+01,-7.200000000000005684e+01
-9.256075760342034187e+01,-7.200000000000005684e+01
-9.256075760342034187e+01,0.000000000000000000e+00
